Region,Postcode,Year,Sum of $0k to less than $50k,LGA Code
Albury,2640,2020,1033,10050
Albury,2641,2020,1033,10050
Armidale Regional,2350,2020,706,10180
Armidale Regional,2365,2020,706,10180
Armidale Regional,2369,2020,706,10180
Ballina,2477,2020,1122,10250
Ballina,2478,2020,1122,10250
Balranald,2715,2020,54,10300
Balranald,2737,2020,54,10300
Bathurst Regional ,2795,2020,804,10470
Bayside,2018,2020,5059,10500
Bayside,2019,2020,5059,10500
Bayside,2020,2020,5059,10500
Bayside,2205,2020,5059,10500
Bayside,2207,2020,5059,10500
Bayside,2216,2020,5059,10500
Bayside,2219,2020,5059,10500
Bega Valley,2548,2020,652,10550
Bega Valley,2549,2020,652,10550
Bega Valley,2550,2020,652,10550
Bega Valley,2551,2020,652,10550
Bellingen,2453,2020,347,10600
Bellingen,2454,2020,347,10600
Bellingen,2455,2020,347,10600
Berrigan,2712,2020,161,10650
Berrigan,2713,2020,161,10650
Berrigan,2714,2020,161,10650
Blacktown,2147,2020,8033,10750
Blacktown,2148,2020,8033,10750
Blacktown,2761,2020,8033,10750
Blacktown,2762,2020,8033,10750
Blacktown,2763,2020,8033,10750
Blacktown,2765,2020,8033,10750
Blacktown,2766,2020,8033,10750
Blacktown,2767,2020,8033,10750
Blacktown,2768,2020,8033,10750
Blacktown,2769,2020,8033,10750
Blacktown,2770,2020,8033,10750
Bland,2668,2020,143,10800
Bland,2669,2020,143,10800
Bland,2671,2020,143,10800
Blayney,2791,2020,214,10850
Blayney,2792,2020,214,10850
Blayney,2797,2020,214,10850
Blayney,2798,2020,214,10850
Blayney,2799,2020,214,10850
Blue Mountains,2773,2020,1330,10900
Blue Mountains,2774,2020,1330,10900
Blue Mountains,2776,2020,1330,10900
Blue Mountains,2777,2020,1330,10900
Blue Mountains,2778,2020,1330,10900
Blue Mountains,2779,2020,1330,10900
Blue Mountains,2780,2020,1330,10900
Blue Mountains,2782,2020,1330,10900
Blue Mountains,2783,2020,1330,10900
Blue Mountains,2784,2020,1330,10900
Blue Mountains,2785,2020,1330,10900
Blue Mountains,2786,2020,1330,10900
Bogan,2825,2020,105,10950
Bourke,2840,2020,48,11150
Brewarrina,2838,2020,25,11200
Brewarrina,2839,2020,25,11200
Broken Hill,2880,2020,225,11250
Burwood,2132,2020,1430,11300
Burwood,2134,2020,1430,11300
Byron,2749,2020,1113,11350
Byron,2481,2020,1113,11350
Byron,2482,2020,1113,11350
Byron,2483,2020,1113,11350
Cabonne,2804,2020,457,11400
Cabonne,2806,2020,457,11400
Cabonne,2864,2020,457,11400
Cabonne,2865,2020,457,11400
Cabonne,2866,2020,457,11400
Cabonne,2867,2020,457,11400
Cabonne,2868,2020,457,11400
Camden,2179,2020,1938,11450
Camden,2557,2020,1938,11450
Camden,2567,2020,1938,11450
Campbelltown,2167,2020,3045,11500
Campbelltown,2558,2020,3045,11500
Campbelltown,2559,2020,3045,11500
Campbelltown,2563,2020,3045,11500
Campbelltown,2564,2020,3045,11500
Campbelltown,2565,2020,3045,11500
Campbelltown,2566,2020,3045,11500
Canada Bay,2046,2020,2993,11520
Canada Bay,2047,2020,2993,11520
Canada Bay,2137,2020,2993,11520
Canada Bay,2138,2020,2993,11520
Canterbury-Bankstown,2143,2020,11124,11570
Canterbury-Bankstown,2162,2020,11124,11570
Canterbury-Bankstown,2163,2020,11124,11570
Canterbury-Bankstown,2190,2020,11124,11570
Canterbury-Bankstown,2191,2020,11124,11570
Canterbury-Bankstown,2192,2020,11124,11570
Canterbury-Bankstown,2193,2020,11124,11570
Canterbury-Bankstown,2194,2020,11124,11570
Canterbury-Bankstown,2195,2020,11124,11570
Canterbury-Bankstown,2196,2020,11124,11570
Canterbury-Bankstown,2197,2020,11124,11570
Canterbury-Bankstown,2198,2020,11124,11570
Canterbury-Bankstown,2199,2020,11124,11570
Canterbury-Bankstown,2200,2020,11124,11570
Canterbury-Bankstown,2206,2020,11124,11570
Canterbury-Bankstown,2208,2020,11124,11570
Canterbury-Bankstown,2211,2020,11124,11570
Canterbury-Bankstown,2212,2020,11124,11570
Canterbury-Bankstown,2213,2020,11124,11570
Canterbury-Bankstown,2214,2020,11124,11570
Carrathool,2675,2020,76,11600
Central Coast,2250,2020,5078,11650
Central Coast,2251,2020,5078,11650
Central Coast,2256,2020,5078,11650
Central Coast,2257,2020,5078,11650
Central Coast,2258,2020,5078,11650
Central Coast,2259,2020,5078,11650
Central Coast,2260,2020,5078,11650
Central Coast,2261,2020,5078,11650
Central Coast,2262,2020,5078,11650
Central Coast,2263,2020,5078,11650
Darling Central,2836,2020,7175,12380
Darling Central,2878,2020,7175,12380
Darling Central,2879,2020,7175,12380
Cessnock,2325,2020,745,11720
Cessnock,2326,2020,745,11720
Cessnock,2327,2020,745,11720
Cessnock,2334,2020,745,11720
Clarence Valley,2460,2020,1025,11730
Clarence Valley,2462,2020,1025,11730
Clarence Valley,2464,2020,1025,11730
Clarence Valley,2465,2020,1025,11730
Clarence Valley,2466,2020,1025,11730
Cobar,2835,2020,100,11750
Coffs Harbour,2450,2020,1228,11800
Coffs Harbour,2452,2020,1228,11800
Coffs Harbour,2456,2020,1228,11800
Coolamon,2701,2020,73,12000
Coolamon,2702,2020,73,12000
Coonamble,2828,2020,130,12150
Coonamble,2829,2020,130,12150
Cootamundra-Gundagai Regional,2588,2020,241,12160
Cootamundra-Gundagai Regional,2590,2020,241,12160
Cootamundra-Gundagai Regional,2722,2020,241,12160
Cootamundra-Gundagai Regional,2725,2020,241,12160
Cootamundra-Gundagai Regional,2727,2020,241,12160
Cowra,2793,2020,315,12350
Cowra,2794,2020,315,12350
Cowra,2805,2020,315,12350
Cumberland,2141,2020,7175,12380
Cumberland,2144,2020,7175,12380
Cumberland,2145,2020,7175,12380
Cumberland,2160,2020,7175,12380
Cumberland,2161,2020,7175,12380
Dubbo Regional,2818,2020,1184,12390
Dubbo Regional,2820,2020,1184,12390
Dubbo Regional,2822,2020,1184,12390
Dubbo Regional,2830,2020,1184,12390
Dungog,2311,2020,350,12700
Dungog,2420,2020,350,12700
Dungog,2421,2020,350,12700
Edward River ,2710,2020,199,12730
Eurobodalla,2536,2020,555,12750
Eurobodalla,2537,2020,555,12750
Eurobodalla,2545,2020,555,12750
Eurobodalla,2546,2020,555,12750
Fairfield,2164,2020,3691,12850
Fairfield,2165,2020,3691,12850
Fairfield,2166,2020,3691,12850
Fairfield,2175,2020,3691,12850
Fairfield,2176,2020,3691,12850
Fairfield,2177,2020,3691,12850
Federation,2643,2020,244,12870
Federation,2645,2020,244,12870
Federation,2646,2020,244,12870
Federation,2647,2020,244,12870
Forbes,2871,2020,264,12900
Georges River,2210,2020,4580,12930
Georges River,2218,2020,4580,12930
Georges River,2220,2020,4580,12930
Georges River,2221,2020,4580,12930
Georges River,2222,2020,4580,12930
Georges River,2223,2020,4580,12930
Gilgandra,2817,2020,123,12950
Gilgandra,2827,2020,123,12950
Glen Innes Severn,2370,2020,242,13010
Glen Innes Severn,2371,2020,242,13010
Goulburn Mulwaree,2580,2020,638,13310
Greater Hume Shire,2644,2020,274,13340
Greater Hume Shire,2660,2020,274,13340
Greater Hume Shire,2659,2020,274,13340
Griffith,2680,2020,648,13450
Griffith,2681,2020,648,13450
Gunnedah,2380,2020,392,13550
Gunnedah,2381,2020,392,13550
Gwydir,2401,2020,184,13660
Gwydir,2402,2020,184,13660
Gwydir,2404,2020,184,13660
Gwydir,2408,2020,184,13660
Gwydir,2411,2020,184,13660
Hawkesbury,2753,2020,1353,13800
Hawkesbury,2754,2020,1353,13800
Hawkesbury,2756,2020,1353,13800
Hawkesbury,2757,2020,1353,13800
Hawkesbury,2758,2020,1353,13800
Hawkesbury,2775,2020,1353,13800
Hay,2711,2020,85,13850
Hilltops,2585,2020,443,13910
Hilltops,2586,2020,443,13910
Hilltops,2594,2020,443,13910
Hilltops,2726,2020,443,13910
Hornsby,2077,2020,3897,14000
Hornsby,2079,2020,3897,14000
Hornsby,2080,2020,3897,14000
Hornsby,2082,2020,3897,14000
Hornsby,2083,2020,3897,14000
Hornsby,2119,2020,3897,14000
Hornsby,2120,2020,3897,14000
Hornsby,2126,2020,3897,14000
Hornsby,2158,2020,3897,14000
Hornsby,2309,2020,3897,14000
Hunters Hill,2111,2020,452,14100
Inner West,2038,2020,5159,14170
Inner West,2039,2020,5159,14170
Inner West,2040,2020,5159,14170
Inner West,2041,2020,5159,14170
Inner West,2042,2020,5159,14170
Inner West,2045,2020,5159,14170
Inner West,2048,2020,5159,14170
Inner West,2049,2020,5159,14170
Inner West,2130,2020,5159,14170
Inner West,2203,2020,5159,14170
Inverell,2360,2020,501,14220
Inverell,2361,2020,501,14220
Inverell,2403,2020,501,14220
Inverell,2410,2020,501,14220
Junee,2663,2020,98,14300
Kempsey,2431,2020,659,14350
Kempsey,2440,2020,659,14350
Kiama,2533,2020,411,14400
Kiama,2534,2020,411,14400
Ku-ring-gai,2069,2020,4191,14500
Ku-ring-gai,2071,2020,4191,14500
Ku-ring-gai,2072,2020,4191,14500
Ku-ring-gai,2073,2020,4191,14500
Ku-ring-gai,2074,2020,4191,14500
Ku-ring-gai,2076,2020,4191,14500
Kyogle,2469,2020,421,14550
Kyogle,2474,2020,421,14550
Lachlan,2873,2020,220,14600
Lake Macquarie,2264,2020,2836,14650
Lake Macquarie,2265,2020,2836,14650
Lake Macquarie,2267,2020,2836,14650
Lake Macquarie,2278,2020,2836,14650
Lake Macquarie,2280,2020,2836,14650
Lake Macquarie,2281,2020,2836,14650
Lake Macquarie,2283,2020,2836,14650
Lake Macquarie,2284,2020,2836,14650
Lake Macquarie,2286,2020,2836,14650
Lake Macquarie,2290,2020,2836,14650
Lake Macquarie,2306,2020,2836,14650
Cove Lane,2066,2020,241,12160
Leeton,2703,2020,189,14750
Leeton,2705,2020,189,14750
Lismore,2480,2020,1179,14850
Lithgow,2790,2020,370,14870
Lithgow,2845,2020,370,14870
Lithgow,2846,2020,370,14870
Lithgow,2847,2020,370,14870
Liverpool,2168,2020,4574,14900
Liverpool,2170,2020,4574,14900
Liverpool,2172,2020,4574,14900
Liverpool,2174,2020,4574,14900
Liverpool,2555,2020,4574,14900
Liverpool Plains,2339,2020,239,14920
Liverpool Plains,2341,2020,239,14920
Liverpool Plains,2342,2020,239,14920
Liverpool Plains,2343,2020,239,14920
Lockhart,2656,2020,62,14950
Maitland,2320,2020,1138,15050
Mid-Coast,2415,2020,1834,15240
Mid-Coast,2422,2020,1834,15240
Mid-Coast,2423,2020,1834,15240
Mid-Coast,2424,2020,1834,15240
Mid-Coast,2425,2020,1834,15240
Mid-Coast,2426,2020,1834,15240
Mid-Coast,2427,2020,1834,15240
Mid-Coast,2428,2020,1834,15240
Mid-Coast,2429,2020,1834,15240
Mid-Coast,2430,2020,1834,15240
Mid-Western Regional,2848,2020,720,15270
Mid-Western Regional,2850,2020,720,15270
Mid-Western Regional,2852,2020,720,15270
Moree Plains,2399,2020,400,15300
Moree Plains,2400,2020,400,15300
Moree Plains,2406,2020,400,15300
Moree Plains,2409,2020,400,15300
Mosman,2088,2020,1064,15350
Murray River,2731,2020,306,15520
Murray River,2736,2020,306,15520
Murrumbidgee,2706,2020,119,15560
Murrumbidgee,2707,2020,119,15560
Murrumbidgee,2716,2020,119,15560
Muswellbrook,2328,2020,293,15650
Muswellbrook,2333,2020,293,15650
Nambucca,2447,2020,460,15700
Nambucca,2448,2020,460,15700
Nambucca,2449,2020,460,15700
Narrabri,2356,2020,496,15750
Narrabri,2382,2020,496,15750
Narrabri,2388,2020,496,15750
Narrabri,2390,2020,496,15750
Narrabri,2397,2020,496,15750
Narrandera,2700,2020,113,15800
Narromine,2821,2020,188,15850
Narromine,2823,2020,188,15850
Newcastle,2287,2020,3247,15900
Newcastle,2289,2020,3247,15900
Newcastle,2291,2020,3247,15900
Newcastle,2292,2020,3247,15900
Newcastle,2293,2020,3247,15900
Newcastle,2294,2020,3247,15900
Newcastle,2296,2020,3247,15900
Newcastle,2297,2020,3247,15900
Newcastle,2298,2020,3247,15900
Newcastle,2299,2020,3247,15900
Newcastle,2300,2020,3247,15900
Newcastle,2302,2020,3247,15900
Newcastle,2303,2020,3247,15900
Newcastle,2304,2020,3247,15900
Newcastle,2305,2020,3247,15900
Newcastle,2307,2020,3247,15900
Newcastle,2308,2020,3247,15900
No usual address,,2020,3247,15900
North Sydney,2090,2020,4070,15950
Northern Beaches,2095,2020,7529,15990
Northern Beaches,2103,2020,7529,15990
Northern Beaches,2104,2020,7529,15990
Northern Beaches,2108,2020,7529,15990
Oberon,2787,2020,208,16100
Orange,2800,2020,787,16150
Parkes,2870,2020,317,16200
Parkes,2874,2020,317,16200
Parkes,2875,2020,317,16200
Parkes,2876,2020,317,16200
Parramatta,2115,2020,8494,16260
Parramatta,2116,2020,8494,16260
Parramatta,2117,2020,8494,16260
Parramatta,2118,2020,8494,16260
Parramatta,2121,2020,8494,16260
Parramatta,2127,2020,8494,16260
Parramatta,2128,2020,8494,16260
Parramatta,2146,2020,8494,16260
Parramatta,2150,2020,8494,16260
Parramatta,2151,2020,8494,16260
Parramatta,2152,2020,8494,16260
Penrith,2178,2020,3407,16350
Penrith,2745,2020,3407,16350
Penrith,2747,2020,3407,16350
Penrith,2748,2020,3407,16350
Penrith,2749,2020,3407,16350
Penrith,2750,2020,3407,16350
Penrith,2759,2020,3407,16350
Penrith,2760,2020,3407,16350
Port Macquarie-Hastings,2439,2020,1473,16380
Port Macquarie-Hastings,2441,2020,1473,16380
Port Macquarie-Hastings,2444,2020,1473,16380
Port Macquarie-Hastings,2445,2020,1473,16380
Port Stephens,2315,2020,1064,16400
Port Stephens,2316,2020,1064,16400
Port Stephens,2317,2020,1064,16400
Port Stephens,2318,2020,1064,16400
Port Stephens,2319,2020,1064,16400
Port Stephens,2324,2020,1064,16400
Queanbeyan-Palerang Regional,2619,2020,1246,16490
Queanbeyan-Palerang Regional,2620,2020,1246,16490
Queanbeyan-Palerang Regional,2621,2020,1246,16490
Queanbeyan-Palerang Regional,2623,2020,1246,16490
Queanbeyan-Palerang Regional,2622,2020,1246,16490
Randwick,2031,2020,3249,16550
Randwick,2033,2020,3249,16550
Randwick,2034,2020,3249,16550
Randwick,2036,2020,3249,16550
Richmond Valley,2470,2020,492,16610
Richmond Valley,2471,2020,492,16610
Richmond Valley,2472,2020,492,16610
Richmond Valley,2473,2020,492,16610
Ryde,2112,2020,3794,16700
Ryde,2113,2020,3794,16700
Ryde,2114,2020,3794,16700
Ryde,2122,2020,3794,16700
Shellharbour,2527,2020,695,16900
Shellharbour,2528,2020,695,16900
Shellharbour,2529,2020,695,16900
Shoalhaven,2535,2020,1422,16950
Shoalhaven,2538,2020,1422,16950
Shoalhaven,2539,2020,1422,16950
Shoalhaven,2540,2020,1422,16950
Shoalhaven,2541,2020,1422,16950
Singleton,2330,2020,632,17000
Snowy Monaro Regional,2624,2020,622,17040
Snowy Monaro Regional,2629,2020,622,17040
Snowy Monaro Regional,2631,2020,622,17040
Snowy Monaro Regional,2628,2020,622,17040
Snowy Monaro Regional,2632,2020,622,17040
Snowy Monaro Regional,2625,2020,622,17040
Snowy Monaro Regional,2626,2020,622,17040
Snowy Monaro Regional,2630,2020,622,17040
Snowy Monaro Regional,2633,2020,622,17040
Snowy Valleys,2649,2020,377,17080
Snowy Valleys,2653,2020,377,17080
Snowy Valleys,2720,2020,377,17080
Snowy Valleys,2729,2020,377,17080
Snowy Valleys,2730,2020,377,17080
Strathfield,2135,2020,1770,17100
Strathfield,2136,2020,1770,17100
Strathfield,2140,2020,1770,17100
Sutherland Shire,2225,2020,4977,17150
Sutherland Shire,2227,2020,4977,17150
Sutherland Shire,2228,2020,4977,17150
Sutherland Shire,2229,2020,4977,17150
Sutherland Shire,2230,2020,4977,17150
Sutherland Shire,2231,2020,4977,17150
Sutherland Shire,2232,2020,4977,17150
Sutherland Shire,2233,2020,4977,17150
Sydney,2000,2020,18455,17200
Sydney,2007,2020,18455,17200
Sydney,2008,2020,18455,17200
Sydney,2009,2020,18455,17200
Sydney,2010,2020,18455,17200
Sydney,2011,2020,18455,17200
Sydney,2015,2020,18455,17200
Sydney,2016,2020,18455,17200
Sydney,2017,2020,18455,17200
Sydney,2037,2020,18455,17200
Sydney,2043,2020,18455,17200
Sydney,2050,2020,18455,17200
Tamworth Regional,2340,2020,1444,17310
Tamworth Regional,2344,2020,1444,17310
Tamworth Regional,2347,2020,1444,17310
Tamworth Regional,2353,2020,1444,17310
Tamworth Regional,2346,2020,1444,17310
Tamworth Regional,2352,2020,1444,17310
Tamworth Regional,2355,2020,1444,17310
Temora,2666,2020,146,17350
Tenterfield,2372,2020,315,17400
Tenterfield,2475,2020,315,17400
The Hills Shire,2125,2020,5790,17420
The Hills Shire,2153,2020,5790,17420
The Hills Shire,2154,2020,5790,17420
The Hills Shire,2156,2020,5790,17420
The Hills Shire,2157,2020,5790,17420
Tweed,2484,2020,1785,17550
Tweed,2485,2020,1785,17550
Tweed,2486,2020,1785,17550
Tweed,2487,2020,1785,17550
Tweed,2488,2020,1785,17550
Tweed,2489,2020,1785,17550
Tweed,2490,2020,1785,17550
Unincorporated NSW,2898,2020,18,19399
Hunter Shire Upper,2329,2020,3897,14000
Hunter Shire Upper,2337,2020,3897,14000
Hunter Upper Shire,2336,2020,3897,14000
Hunter Upper Shire,2338,2020,3897,14000
Upper Lachlan Shire,2583,2020,385,17640
Uralla,2358,2020,179,17650
Uralla,2359,2020,179,17650
Wagga Wagga,2650,2020,1072,17750
Wagga Wagga,2651,2020,1072,17750
Wagga Wagga,2661,2020,1072,17750
Wagga Wagga,2678,2020,1072,17750
Walcha,2354,2020,118,17850
Walgett,2386,2020,185,17900
Walgett,2387,2020,185,17900
Walgett,2832,2020,185,17900
Walgett,2833,2020,185,17900
Walgett,2834,2020,185,17900
Warren,2824,2020,82,17950
Warren,2826,2020,82,17950
Warrumbungle Shire,2357,2020,309,18020
Warrumbungle Shire,2395,2020,309,18020
Warrumbungle Shire,2396,2020,309,18020
Warrumbungle Shire,2842,2020,309,18020
Warrumbungle Shire,2843,2020,309,18020
Warrumbungle Shire,2844,2020,309,18020
Waverley,2022,2020,2675,18050
Waverley,2024,2020,2675,18050
Waverley,2026,2020,2675,18050
Weddin,2809,2020,111,18100
Weddin,2810,2020,111,18100
Wentworth,2648,2020,177,18200
Wentworth,2717,2020,177,18200
Wentworth,2738,2020,177,18200
Wentworth,2739,2020,177,18200
Willoughby,2063,2020,3364,18250
Willoughby,2064,2020,3364,18250
Willoughby,2067,2020,3364,18250
Willoughby,2068,2020,3364,18250
Wingecarribee,2575,2020,1362,18350
Wingecarribee,2576,2020,1362,18350
Wingecarribee,2577,2020,1362,18350
Wollondilly,2568,2020,898,18400
Wollondilly,2569,2020,898,18400
Wollondilly,2571,2020,898,18400
Wollondilly,2572,2020,898,18400
Wollondilly,2573,2020,898,18400
Wollondilly,2752,2020,898,18400
Wollongong,2500,2020,2975,18450
Wollongong,2502,2020,2975,18450
Wollongong,2505,2020,2975,18450
Wollongong,2506,2020,2975,18450
Wollongong,2508,2020,2975,18450
Wollongong,2515,2020,2975,18450
Wollongong,2516,2020,2975,18450
Wollongong,2517,2020,2975,18450
Wollongong,2518,2020,2975,18450
Wollongong,2519,2020,2975,18450
Wollongong,2525,2020,2975,18450
Wollongong,2526,2020,2975,18450
Wollongong,2530,2020,2975,18450
Woollahra,2023,2020,2449,18500
Woollahra,2025,2020,2449,18500
Woollahra,2027,2020,2449,18500
Woollahra,2028,2020,2449,18500
Woollahra,2029,2020,2449,18500
Yass Valley,2582,2020,565,18710
Yass Valley,2584,2020,565,18710
