Date,"Short-term visitor arrivals, Aust. ('000)"
1/1/2013,488.67
1/2/2013,616.97
1/3/2013,588.87
1/4/2013,461.54
1/5/2013,413.33
1/6/2013,447.52
1/7/2013,530.91
1/8/2013,529.35
1/9/2013,493.89
1/10/2013,542.76
1/11/2013,578.13
1/12/2013,789.76
1/1/2014,562.51
1/2/2014,637.63
1/3/2014,600.82
1/4/2014,528.56
1/5/2014,472.88
1/6/2014,457.90
1/7/2014,589.65
1/8/2014,540.91
1/9/2014,521.75
1/10/2014,586.68
1/11/2014,611.23
1/12/2014,811.83
1/1/2015,547.43
1/2/2015,726.06
1/3/2015,679.27
1/4/2015,550.15
1/5/2015,485.66
1/6/2015,488.15
1/7/2015,628.27
1/8/2015,574.14
1/9/2015,571.99
1/10/2015,625.80
1/11/2015,671.54
1/12/2015,901.32
1/1/2016,617.67
1/2/2016,798.61
1/3/2016,757.35
1/4/2016,610.50
1/5/2016,541.28
1/6/2016,555.07
1/7/2016,715.78
1/8/2016,632.14
1/9/2016,647.04
1/10/2016,695.92
1/11/2016,721.83
1/12/2016,976.15
1/1/2017,723.99
1/2/2017,787.58
1/3/2017,772.23
1/4/2017,700.01
1/5/2017,579.09
1/6/2017,606.01
1/7/2017,746.41
1/8/2017,702.90
1/9/2017,663.59
1/10/2017,741.36
1/11/2017,777.09
1/12/2017,"1,015.04"
1/1/2018,702.58
1/2/2018,914.53
1/3/2018,872.35
1/4/2018,679.78
1/5/2018,609.45
1/6/2018,646.65
1/7/2018,774.36
1/8/2018,741.71
1/9/2018,690.19
1/10/2018,753.96
1/11/2018,802.16
1/12/2018,"1,057.90"
1/1/2019,731.13
1/2/2019,927.24
1/3/2019,836.35
1/4/2019,700.37
1/5/2019,668.28
1/6/2019,660.34
1/7/2019,790.38
1/8/2019,789.20
1/9/2019,694.96
1/10/2019,774.02
1/11/2019,815.91
1/12/2019,"1,077.72"
1/1/2020,766.59
1/2/2020,685.41
1/3/2020,331.89
1/4/2020,2.25
1/5/2020,3.44
1/6/2020,5.40
1/7/2020,3.53
1/8/2020,3.03
1/9/2020,3.72
1/10/2020,6.07
1/11/2020,7.57
1/12/2020,8.82
1/1/2021,7.99
1/2/2021,6.26
1/3/2021,8.32
1/4/2021,22.61
1/5/2021,36.19
1/6/2021,36.77
1/7/2021,18.72
1/8/2021,6.39
1/9/2021,4.43
1/10/2021,4.41
1/11/2021,20.86
1/12/2021,73.29
1/1/2022,60.76
1/2/2022,90.46
1/3/2022,170.25
1/4/2022,235.46
1/5/2022,231.48
1/6/2022,275.30
1/7/2022,325.68
1/8/2022,348.44
1/9/2022,371.85
1/10/2022,430.47
1/11/2022,505.24
1/12/2022,648.97
1/1/2023,412.41
1/2/2023,600.71
1/3/2023,613.34