Date,"Short-term visitor arrivals, NSW ('000)"
1/1/2013,188.87
1/2/2013,238.43
1/3/2013,220.95
1/4/2013,176.77
1/5/2013,154.60
1/6/2013,161.07
1/7/2013,188.04
1/8/2013,190.37
1/9/2013,180.97
1/10/2013,205.82
1/11/2013,223.96
1/12/2013,308.03
1/1/2014,225.95
1/2/2014,261.47
1/3/2014,237.87
1/4/2014,203.49
1/5/2014,180.32
1/6/2014,166.08
1/7/2014,201.34
1/8/2014,194.12
1/9/2014,188.28
1/10/2014,210.56
1/11/2014,233.18
1/12/2014,314.94
1/1/2015,214.35
1/2/2015,281.79
1/3/2015,265.09
1/4/2015,206.13
1/5/2015,185.95
1/6/2015,171.90
1/7/2015,214.22
1/8/2015,213.40
1/9/2015,204.23
1/10/2015,226.46
1/11/2015,251.08
1/12/2015,350.33
1/1/2016,245.02
1/2/2016,316.29
1/3/2016,298.66
1/4/2016,235.32
1/5/2016,204.52
1/6/2016,199.94
1/7/2016,248.04
1/8/2016,233.07
1/9/2016,231.42
1/10/2016,249.41
1/11/2016,280.13
1/12/2016,377.47
1/1/2017,297.84
1/2/2017,313.88
1/3/2017,305.54
1/4/2017,275.91
1/5/2017,222.86
1/6/2017,221.40
1/7/2017,269.51
1/8/2017,257.00
1/9/2017,247.69
1/10/2017,279.16
1/11/2017,302.79
1/12/2017,389.48
1/1/2018,270.17
1/2/2018,360.98
1/3/2018,343.77
1/4/2018,258.38
1/5/2018,229.40
1/6/2018,229.54
1/7/2018,271.21
1/8/2018,264.22
1/9/2018,251.58
1/10/2018,283.93
1/11/2018,306.21
1/12/2018,403.74
1/1/2019,282.66
1/2/2019,357.42
1/3/2019,314.01
1/4/2019,267.17
1/5/2019,251.99
1/6/2019,235.05
1/7/2019,268.05
1/8/2019,282.80
1/9/2019,251.73
1/10/2019,285.20
1/11/2019,298.05
1/12/2019,388.71
1/1/2020,280.35
1/2/2020,252.66
1/3/2020,114.51
1/4/2020,0.72
1/5/2020,1.42
1/6/2020,1.92
1/7/2020,1.57
1/8/2020,1.60
1/9/2020,1.88
1/10/2020,3.44
1/11/2020,4.52
1/12/2020,4.72
1/1/2021,2.91
1/2/2021,2.79
1/3/2021,4.13
1/4/2021,10.94
1/5/2021,16.49
1/6/2021,16.88
1/7/2021,6.16
1/8/2021,1.45
1/9/2021,0.73
1/10/2021,0.98
1/11/2021,10.21
1/12/2021,37.15
1/1/2022,26.85
1/2/2022,34.90
1/3/2022,62.61
1/4/2022,82.28
1/5/2022,81.99
1/6/2022,91.34
1/7/2022,107.57
1/8/2022,120.86
1/9/2022,128.98
1/10/2022,150.84
1/11/2022,181.04
1/12/2022,242.05
1/1/2023,159.13
1/2/2023,247.02
1/3/2023,234